"ensembl_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"ENSG00000176155",473.806374578148,0.302076628180435,0.117408660073005,2.57286496577513,0.0100860551234717,0.0249945553036017,0.259833997066639,0.116401455905424,"CCDC57"
"ENSG00000173702",18.8958237397103,1.22532690637422,0.47638364044964,2.57214312653071,0.0101071097999621,0.0250427627859304,0.25603629481383,0.413873576172144,"MUC13"
"ENSG00000153786",400.839193327409,0.147674656597088,0.0574149003834412,2.57206153125502,0.0101094922391175,0.0250446974244423,0.140153062927927,0.0564530525575048,"ZDHHC7"
"ENSG00000179256",66.389282701441,-0.289551675805681,0.112584523579982,-2.57186038185771,0.0101153675852705,0.0250552832141415,-0.251100008423934,0.110015052791041,"SMCO3"
"ENSG00000171681",2419.19929548007,-0.190933992972423,0.0742436218635709,-2.57172250194475,0.0101193966575742,0.0250612932427127,-0.176384109595547,0.0724664985253724,"ATF7IP"
"ENSG00000085274",487.668354336121,-0.169550415071964,0.065939259740932,-2.57131207930008,0.0101313983247106,0.0250870428509105,-0.158705132741896,0.064484901231153,"MYNN"
"ENSG00000188223",37.7176844609706,0.556499353504221,0.216435885250536,2.57119725252605,0.0101347583820931,0.0250913896169712,0.411469105481327,0.232629212657512,NA
"ENSG00000108774",577.349477704459,0.262880020963517,0.102258324487926,2.57074445801777,0.0101480177130056,0.0251202395089867,0.231875849719303,0.100734269988388,"RAB5C"
"ENSG00000053770",748.940938903798,-0.168876775698129,0.0657024162403768,-2.57032823694462,0.0101602196739983,0.0251336125799897,-0.157642135399999,0.0642574914028922,"AP5M1"
"ENSG00000142002",722.989798080339,0.239595934608941,0.0932147309354431,2.57036556566232,0.0101591248101752,0.0251336125799897,0.214536752908713,0.0916261264142924,"DPP9"
"ENSG00000164733",12906.0347868234,0.329348100221149,0.128136748946391,2.5702860649207,0.0101614567200035,0.0251336125799897,0.279629960312102,0.127814278655624,"CTSB"
"ENSG00000213694",261.941255317716,0.291344459836516,0.113349102979928,2.5703287646494,0.0101602041955079,0.0251336125799897,0.252209728370868,0.112121891502011,"S1PR3"
"ENSG00000268790",75.8383252236277,0.537118161276149,0.208955535559823,2.57049022337278,0.0101554693187554,0.0251336125799897,0.401411553718227,0.222967739765231,NA
"ENSG00000162813",404.770456899816,-0.159110757639366,0.061914926198304,-2.56982875388979,0.0101748797904887,0.0251628333518697,-0.149851228279862,0.060638984386465,"BPNT1"
"ENSG00000147586",479.372956573486,-0.176370649458431,0.0686635028868052,-2.56862295168928,0.0102103484188036,0.0252465556965263,-0.164483991451024,0.0671215689659605,"MRPS28"
"ENSG00000123560",27.6327462723398,-0.729148303021258,0.283890992274147,-2.56840943483383,0.0102166404674601,0.0252581196821619,-0.51071860586978,0.301424266272997,"PLP1"
"ENSG00000139636",400.639944372517,0.145775233804943,0.0567670418361736,2.56795543839755,0.0102300305929284,0.0252872254792319,0.138501470019921,0.0558263958142721,"LMBR1L"
"ENSG00000144406",1221.84013770776,-0.226381176780947,0.0881893576165946,-2.56698974682574,0.010258564571483,0.0253537496766681,-0.202671089283514,0.0858501182659244,"UNC80"
"ENSG00000089692",58.3725632551329,0.427654063265381,0.166649133788653,2.56619433622582,0.0102821203202587,0.0254079512401842,0.34014500798497,0.170512639800978,"LAG3"
"ENSG00000177984",162.672312144055,-0.278622324467895,0.108612556081967,-2.56528650571143,0.0103090641572518,0.0254705065929762,-0.243185891855463,0.105922701001419,"LCN15"
"ENSG00000103313",85.416102350133,0.22569781474604,0.08798798846172,2.56509801726211,0.010314666247096,0.0254762969682263,0.203857071502095,0.0862372112672908,"MEFV"
"ENSG00000121270",184.922155526586,-0.332140865154569,0.129484331071983,-2.56510469185593,0.0103144678243576,0.0254762969682263,-0.279979607846434,0.126737160521421,"ABCC11"
"ENSG00000151292",1042.05750982038,-0.302440183268787,0.11791449497291,-2.56491098349078,0.0103202277801974,0.0254860078646472,-0.259532635207568,0.115040879160348,"CSNK1G3"
"ENSG00000077238",1040.86099159974,0.247553258018278,0.0965410611429348,2.56422764663587,0.0103405698024262,0.0255322106427504,0.221484905490018,0.0949720666903844,"IL4R"
