"pathway","pval","padj","log2err","ES","NES","size","drug_name","direction","is_candidate"
"POS_HISTAMINE_RESPONSE_NETWORK",0.0384737678855326,0.0964829791235659,0.0743880192035108,0.794416622889496,1.31872978028011,29,"POS_HISTAMINE_RESPONSE_NETWORK","BOTH",FALSE
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",0.0385077015403081,0.0964829791235659,0.0721460585392844,0.682734768624391,1.18114096186757,160,"CONCANNON_APOPTOSIS_BY_EPOXOMICIN","DN",FALSE
"CORRE_MULTIPLE_MYELOMA_DN",0.0385085574572127,0.0964829791235659,0.0728383861629769,0.748543086933992,1.27987519708689,53,"CORRE_MULTIPLE_MYELOMA","DN",FALSE
"FURUKAWA_DUSP6_TARGETS_PCI35_UP",0.0385936552838957,0.0966077226502642,0.0724404674044223,0.729452229072707,1.2533563938317,67,"FURUKAWA_DUSP6_TARGETS_PCI35","UP",FALSE
"GEISS_RESPONSE_TO_DSRNA_UP",0.0386614009561422,0.0966245475081204,0.0734471130740274,0.772857314341122,1.29990981003824,37,"GEISS_RESPONSE_TO_DSRNA","UP",FALSE
"DELYS_THYROID_CANCER_DN",0.0386961303869613,0.0966245475081204,0.0719516678892624,0.668801953301456,1.16022079865589,217,"DELYS_THYROID_CANCER","DN",FALSE
"WEINMANN_ADAPTATION_TO_HYPOXIA_DN",0.0387353433835846,0.0966245475081204,0.0736532668184816,0.782590436711485,1.3095499010264,34,"WEINMANN_ADAPTATION_TO_HYPOXIA","DN",FALSE
"CERVERA_SDHB_TARGETS_2",0.0387464957949539,0.0966245475081204,0.0719516678892624,0.702972907142166,1.21355364287723,110,"CERVERA_SDHB_TARGETS_2","BOTH",FALSE
"GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11",0.0387769565657588,0.0966245475081204,0.0723419514602353,0.734483526980061,1.25971526484594,62,"GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11","BOTH",FALSE
"BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN",0.0389459202031961,0.0969572681309777,0.07386107958716,0.79100347034777,1.3142539222928,30,"BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE","DN",FALSE
