"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"ENSG00000105717",6.01821060538171,1.2319412804763,0.277964097196662,5.05402438569661e-07,1.68965713132874e-05,"PBX4"
"ENSG00000184489",17.8466025321077,1.12369163890798,0.256779254520007,5.07365351705666e-07,1.6944169545911e-05,"PTP4A3"
"ENSG00000085741",57.8881679910314,1.02610524610981,0.234543918152532,5.23897004988022e-07,1.72729919025149e-05,"WNT11"
"ENSG00000088882",5.77790275806801,1.73446984802578,0.402872358333562,5.25584235333459e-07,1.7295298617371e-05,"CPXM1"
"ENSG00000170345",714.013936482258,1.8705112305328,0.444466329314882,5.29054459521252e-07,1.73860929065259e-05,"FOS"
"ENSG00000159761",19.7042514122445,1.13085306544738,0.258993594676223,5.30034098318186e-07,1.73871102022415e-05,"C16orf86"
"ENSG00000174326",20.6522747152613,1.2228319141313,0.194275784522328,5.38696065884875e-07,1.75612682225084e-05,"SLC16A11"
"ENSG00000087085",19.203348235378,2.09214163849719,0.409579736796867,5.43396002162011e-07,1.7659527160231e-05,"ACHE"
"ENSG00000141994",89.8495825938893,1.16958488428671,0.270982239051852,5.69274365254738e-07,1.83487345666619e-05,"DUS3L"
"ENSG00000207166",113.50799805938,1.25608706742428,0.293151849869477,5.87921140812608e-07,1.88338529777544e-05,"SNORA68"
"ENSG00000211747",3.79335725247113,1.61982595692317,0.370845618774129,5.9335903810244e-07,1.89308640927993e-05,"TRBV20-1"
"ENSG00000120129",1494.08924661845,1.30590417378864,0.305711813811789,5.97199578232445e-07,1.90113316371003e-05,"DUSP1"
"ENSG00000185507",115.183263015418,1.09643760461281,0.253771209727203,5.97696036958414e-07,1.90113316371003e-05,"IRF7"
"ENSG00000166126",157.66403824784,1.30812228022242,0.30669872375743,6.28597553881794e-07,1.98137479722059e-05,"AMN"
"ENSG00000125775",67.0547055817921,1.13300588438236,0.189865833032421,6.4708315353767e-07,2.01538505283199e-05,"SDCBP2"
"ENSG00000213889",15.7153973189017,1.10303523386779,0.25483242287905,6.46963367019856e-07,2.01538505283199e-05,"PPM1N"
"ENSG00000166106",20.8686005320732,1.03862326256802,0.240525510951699,6.67212159030176e-07,2.06579402065835e-05,"ADAMTS15"
"ENSG00000171222",40.8544739162397,1.3351398685937,0.314395026680202,6.73297861915793e-07,2.07849298708897e-05,"SCAND1"
"ENSG00000099958",91.7094315572662,1.24112616955189,0.292387598738172,7.27587918110675e-07,2.21776701401999e-05,"DERL3"
"ENSG00000162066",67.8420847242924,1.11581566809764,0.26107449651518,7.29087372760892e-07,2.2201840868589e-05,"AMDHD2"
"ENSG00000211950",27.352840540816,1.26485496774401,0.298757046077091,7.32425029807801e-07,2.22818867248209e-05,"IGHV1-24"
"ENSG00000137331",34.5857354847525,2.30771601788011,0.319835574745769,7.3548887116195e-07,2.23534557689898e-05,"IER3"
"ENSG00000183856",30.918166676249,1.32971403683011,0.314554816807652,7.37735955050493e-07,2.23784653700934e-05,"IQGAP3"
"ENSG00000174886",284.030472045103,1.03625485720677,0.242764670150608,7.94342581456393e-07,2.3561436997375e-05,"NDUFA11"
"ENSG00000079931",104.516205836904,1.37525017413246,0.32808978490921,7.95748769260691e-07,2.35694635464529e-05,"MOXD1"
"ENSG00000171443",42.060685159102,1.0686380923405,0.250401914416145,7.97643570453344e-07,2.35812184327567e-05,"ZNF524"
"ENSG00000165953",18.2168462622007,1.45134891380874,0.345854405035435,8.05158657695047e-07,2.37586065509151e-05,"SERPINA12"
"ENSG00000108691",98.9064196521307,1.93810225075456,0.285424524781973,8.7869740490939e-07,2.53804638296714e-05,"CCL2"
"ENSG00000270141",21.1563281842509,1.2477924472779,0.295814366300671,8.80401609069166e-07,2.54063369757646e-05,"TERC"
"ENSG00000149527",59.0181472347129,1.26233546254025,0.223731755385888,8.90005895259678e-07,2.55661108450006e-05,"PLCH2"
"ENSG00000166145",49.8313038211598,1.33814600250979,0.238628957022196,9.08313650150196e-07,2.59261260396186e-05,"SPINT1"
"ENSG00000250687",13.961336788956,2.25133560842714,0.552754544540391,9.22416268870334e-07,2.61859563374156e-05,"NAIPP1"
"ENSG00000181291",18.379639450052,1.11286586336375,0.264731426056492,1.08544489487655e-06,2.97394867187362e-05,"TMEM132E"
"ENSG00000144655",205.090592820518,1.4897009175885,0.31551324110498,1.08979680284036e-06,2.98327128275793e-05,"CSRNP1"
"ENSG00000138131",112.834575654442,1.00389396146843,0.18407678040524,1.0955679912114e-06,2.99385388624429e-05,"LOXL4"
"ENSG00000171700",46.3887007443806,1.25203533855821,0.301955642079558,1.13005746161316e-06,3.06412301886583e-05,"RGS19"
"ENSG00000142178",643.383592594433,1.6239584842744,0.399135449616995,1.15472046628836e-06,3.11267230586814e-05,"SIK1"
"ENSG00000203883",6.22284077287503,1.40473880798192,0.335195990765215,1.21491483279344e-06,3.25212210693072e-05,"SOX18"
"ENSG00000226132",3.19948357122961,2.10076669694981,0.504714088823471,1.3476765189489e-06,3.56499009128688e-05,"RPS3AP46"
"ENSG00000184557",105.227995770043,2.61865081247215,0.305699888025265,1.35054410622286e-06,3.56957099093015e-05,"SOCS3"
"ENSG00000104237",9.14458128003707,-1.22409579421233,0.284612666789715,1.37762111188007e-06,3.62892884006229e-05,"RP1"
"ENSG00000076984",321.635077799325,1.0484273890894,0.253165885851182,1.3811228280379e-06,3.63510602964145e-05,"MAP2K7"
"ENSG00000238917",266.534537620212,1.00960858573372,0.243848274332559,1.42506331685595e-06,3.73823370580261e-05,"SNORD10"
"ENSG00000177989",51.2337471401381,1.23637820632142,0.30250802711534,1.46303109478589e-06,3.81553652985406e-05,"CIMAP1B"
"ENSG00000121900",15.2822859163358,1.16949117704446,0.284317005354864,1.51639361540801e-06,3.9221552064043e-05,"TMEM54"
"ENSG00000213221",17.7789365233797,1.1078587483886,0.26843211875211,1.52755236210025e-06,3.94452428359593e-05,"DNLZ"
"ENSG00000182240",395.94458246879,1.03800966535636,0.252818490509507,1.59466064600018e-06,4.05857280121515e-05,"BACE2"
"ENSG00000127585",21.0019916218771,1.64290836634044,0.394163786586136,1.64060669590299e-06,4.15118406001991e-05,"FBXL16"
"ENSG00000179388",27.1898149503306,1.56232164514537,0.392866994321207,1.80572691688519e-06,4.46824992834914e-05,"EGR3"
"ENSG00000211675",445.680535594538,1.10596915434665,0.272963052543224,1.8434814247051e-06,4.54735064778512e-05,"IGLC1"
"ENSG00000099795",154.811113198894,1.1638057756401,0.288390306889763,1.88441901567126e-06,4.6238888468223e-05,"NDUFB7"
"ENSG00000171159",37.4482628016602,1.09187010806756,0.270801551900525,2.02837175929896e-06,4.86964178057518e-05,"BBLN"
"ENSG00000259881",27.1526651606328,1.10143395064818,0.27251469298004,2.09436836562121e-06,4.98618335287971e-05,"LOC101927793"
"ENSG00000176887",16.3402300760335,1.99180551508903,0.515334221895217,2.15267031054644e-06,5.06740203589756e-05,"SOX11"
"ENSG00000211679",929.638058435842,1.12101084054034,0.278539199555244,2.18801411454437e-06,5.11992044405596e-05,"IGLC3"
"ENSG00000213145",22.9415237257579,1.39542938996897,0.354560146092524,2.38311963715055e-06,5.46257605522198e-05,"CRIP1"
"ENSG00000139329",1235.07901166633,1.0412835095935,0.260013205893265,2.41977097445397e-06,5.52643333162721e-05,"LUM"
"ENSG00000169962",11.9988420167803,1.16586672654736,0.291565913779564,2.50735219032845e-06,5.67694884245402e-05,"TAS1R3"
"ENSG00000242534",116.262627225424,1.02447310980604,0.25688229722687,2.64834975072721e-06,5.93630807891249e-05,"IGKV2D-28"
"ENSG00000175602",6.15853780001567,1.52414133571379,0.386991008076903,2.74569197251411e-06,6.09732065899596e-05,"CCDC85B"
"ENSG00000004776",15.0901707164965,1.12374306646602,0.282156171673443,2.80957947891251e-06,6.19618208666013e-05,"HSPB6"
"ENSG00000163815",43.777716435766,1.1011237895132,0.27741402669097,2.80961649801529e-06,6.19618208666013e-05,"CLEC3B"
"ENSG00000142871",114.197849207799,2.70929003146523,0.294458307420212,3.03011616192861e-06,6.59448964714463e-05,"CCN1"
"ENSG00000211896",2715.45310884764,1.23006762396048,0.314558210477609,3.06075201840472e-06,6.6381775659342e-05,"IGHG1"
"ENSG00000211648",50.2555777870753,1.28515121762986,0.330266397747358,3.06752919549231e-06,6.64458757942282e-05,"IGLV1-47"
"ENSG00000211592",5434.62231113354,1.05663645917953,0.26519447716303,3.17977769252449e-06,6.82566214243679e-05,"IGKC"
"ENSG00000252561",3.59124165275855,1.83116769437388,0.46591621667589,3.22894579073977e-06,6.90761405172144e-05,"RNU1-125P"
"ENSG00000130821",61.7268352987436,1.21883711618534,0.313664968902473,3.2974112754147e-06,7.02062647297983e-05,"SLC6A8"
"ENSG00000130598",1.77462393676116,2.54728516000737,0.527106144801356,3.38526464989947e-06,7.13995482468058e-05,"TNNI2"
"ENSG00000225663",84.2817254755048,1.04768694279294,0.267960196589918,3.56047969671339e-06,7.43466012949601e-05,"MCRIP1"
"ENSG00000187608",31.8394096859782,1.36766157259888,0.357504031094316,3.74427715702554e-06,7.70580575878748e-05,"ISG15"
"ENSG00000237989",5.28913327440732,1.38133948462962,0.3547418311705,3.83857081590922e-06,7.84846626289936e-05,"LINC01679"
"ENSG00000106366",1426.70628022938,1.26224663758278,0.329757933249043,3.90049057994002e-06,7.95953356916851e-05,"SERPINE1"
"ENSG00000197136",558.464835703621,1.19952734113417,0.31206239941405,3.91256584350001e-06,7.97381933838076e-05,"PCNX3"
"ENSG00000199785",50.9621864455262,1.05214051188805,0.270138907089456,3.95296663430776e-06,8.03011825790277e-05,"SNORA52"
"ENSG00000271858",4.17648038503453,1.20660483642441,0.303828066480281,4.01788862882897e-06,8.14620439029543e-05,"LOC101928965"
"ENSG00000228812",9.52520946399665,1.25153947742522,0.323416400357608,4.02676325362297e-06,8.15893372071924e-05,"LAMA5-AS1"
"ENSG00000185614",7.8271797157482,1.12537405064704,0.286691203769446,4.04525493870519e-06,8.19111995513848e-05,"INKA1"
"ENSG00000147570",24.898582702563,1.0750967822075,0.2774805842016,4.26945866196349e-06,8.56234894134427e-05,"DNAJC5B"
"ENSG00000119888",81.5591511877182,1.23900348987964,0.252233758716607,4.44794018025598e-06,8.86935076806627e-05,"EPCAM"
"ENSG00000224420",3.81556912682194,1.33614171363465,0.341395347898526,4.53270425394259e-06,9.00409379800252e-05,"ADM5"
"ENSG00000184601",17.4497744197665,1.07070021889589,0.278295202251559,4.59129247604971e-06,9.08029939284696e-05,"C14orf180"
"ENSG00000122861",60.7852195603473,1.02966662012636,0.267388064880829,4.64499060609013e-06,9.15768348726402e-05,"PLAU"
"ENSG00000129538",246.076491890116,1.02926189586126,0.267435987824942,4.64876737129842e-06,9.15938328592001e-05,"RNASE1"
"ENSG00000188747",21.9486801933784,1.14734962516224,0.300571761298271,5.00805690311075e-06,9.62588356190571e-05,"NOXA1"
"ENSG00000213599",64.226737348955,1.42349572792025,0.38262625093173,5.38890359499303e-06,0.000101651671294268,"SLX1A-SULT1A3"
"ENSG00000243980",6.38522532605145,1.24666990417908,0.324524301218848,5.40286974334807e-06,0.000101731926036223,"RN7SL702P"
"ENSG00000099860",654.710862730853,1.12586868375985,0.298602574660587,5.5584129176822e-06,0.000104037334336558,"GADD45B"
"ENSG00000163485",7.54373797194619,1.0608437401726,0.274467064596409,5.56597167062729e-06,0.000104116801024484,"ADORA1"
"ENSG00000211933",16.2362815092006,1.20040162988431,0.318303288017802,5.61644369284022e-06,0.000104811377370069,"IGHV6-1"
"ENSG00000104951",9.01222075149816,1.24148205166323,0.329563699802577,6.03440915090364e-06,0.000111289519939142,"IL4I1"
"ENSG00000177234",5.19248558270491,1.02428829893794,0.264007263407885,6.03847821498645e-06,0.000111299247146137,"LINC01561"
"ENSG00000264618",10.9539898141992,1.36726617572684,0.366038537378756,6.07707215830417e-06,0.000111813858107065,"RN7SL732P"
"ENSG00000175920",9.87578901271827,1.21220506539384,0.322646260528794,6.5150308238272e-06,0.000118142734373683,"DOK7"
"ENSG00000110848",84.6213714298685,1.12920312808775,0.303743633965017,6.83514127290297e-06,0.000123095214694698,"CD69"
"ENSG00000170961",31.6777084986573,1.32083970589716,0.276691248067845,7.15210502402334e-06,0.000127461246131038,"HAS2"
"ENSG00000125910",6.05168993259637,1.41517606356408,0.377952994531133,7.22061658833958e-06,0.000128128230889418,"S1PR4"
"ENSG00000153443",81.3481335631778,1.11628840149007,0.300970131545836,7.22969768425717e-06,0.000128216974845071,"UBALD1"
"ENSG00000211644",70.2714075059267,1.0163429919515,0.271784102398687,7.32626720953586e-06,0.00012949115485201,"IGLV1-51"
"ENSG00000244486",12.1211860427775,1.06227420632192,0.282851496233925,7.44903120161053e-06,0.000131131735237599,"SCARF2"
"ENSG00000106211",263.327373935991,1.0043178508996,0.269020397500325,7.51259593886522e-06,0.000131968049175393,"HSPB1"
"ENSG00000160446",51.2654634092274,1.0364795298083,0.278300621894887,7.62025602021582e-06,0.000133486157018563,"ZDHHC12"
"ENSG00000222236",3.33670721925268,-1.03267697045659,0.266888858110582,7.9949250823622e-06,0.000139195853539232,"RNA5SP163"
"ENSG00000211968",4.83715459697831,1.59899024861857,0.441298519407949,8.19548254221374e-06,0.000141901506540831,"IGHV1-58"
