"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-1.80216081250002,9.98991724603175,-8.86182753413079,1.14290935387003e-12,2.18295686589176e-10,18.6027675278262,"GPRC5A","Down"
1.41629810526313,11.6206930238095,8.84200981814269,1.23690862663587e-12,2.34101824526657e-10,18.5255367823833,"C1orf203","Up"
0.993255533991194,12.9533437698413,8.81370993171978,1.38475455544225e-12,2.59722568376147e-10,18.4152092328472,"P8","Up"
1.05730728618418,12.8536488253968,8.78999188560871,1.52224548642833e-12,2.82960971267423e-10,18.3227072880228,"MAL2","Up"
-0.724117002193026,14.6740336904762,-8.78671481715133,1.54229034499932e-12,2.8414993533222e-10,18.3099239048456,"SGK","Down"
-2.04067425548248,11.6522997301587,-8.78344261104722,1.56256978181066e-12,2.85360879715053e-10,18.2971588640765,"S100P","Down"
1.56441651754383,11.8399833015873,8.77798719377751,1.59697640073097e-12,2.89108275537549e-10,18.2758756224892,"C8orf47","Up"
-3.16337995548248,10.1355181714286,-8.74424353512877,1.82735287853027e-12,3.27962582570015e-10,18.1441933247094,"IL6","Down"
1.98475814692978,13.5068126746032,8.73979109826928,1.86014436256911e-12,3.30994405848942e-10,18.1268131650862,"RTP3","Up"
-2.89709747368424,11.559623031746,-8.73534902505176,1.89344796432662e-12,3.34065196350135e-10,18.1094723504148,"IL8","Down"
0.501751288377154,14.1435837142857,8.73025427038785,1.93238226044492e-12,3.38069464539519e-10,18.0895822606586,"CCDC90B","Up"
1.90382273574559,10.6077397301587,8.72659378341387,1.96085085447301e-12,3.40191282827279e-10,18.0752907057419,"KRT222","Up"
-2.06563319407897,9.95518234920635,-8.71401531775118,2.06192373483897e-12,3.54770167236466e-10,18.0261752319638,"ARL14","Down"
-0.526810658991266,14.310645531746,-8.64206580901801,2.74916377159396e-12,4.69138037383727e-10,17.7450677177769,"FAM46A","Down"
0.505112732456109,13.1784769285714,8.6384121576438,2.7896368830292e-12,4.72174392421015e-10,17.7307855910162,"NDUFA6","Up"
1.21678933991225,12.9879371507937,8.63272810661786,2.85379323878825e-12,4.79138076115585e-10,17.7085652674,"RAB26","Up"
-0.697680163377221,12.2958566666667,-8.60449111842184,3.19513143065886e-12,5.32155530039094e-10,17.5981557836723,"ZNF286C","Down"
-1.28361964692986,12.8567887380952,-8.59929395147518,3.2622820184516e-12,5.39027375731301e-10,17.5778299812913,"P4HA1","Down"
-0.549806831140385,13.2939448888889,-8.57930143568519,3.53406251723703e-12,5.79335807451635e-10,17.4996280764724,"C3orf58","Down"
-1.71559245394739,10.5256143650794,-8.57500251154981,3.59540725796475e-12,5.84787372684126e-10,17.4828100357656,"ZFP36","Down"
0.686758138157865,12.0550665396825,8.57106742250327,3.65249600177538e-12,5.89467552410556e-10,17.4674145906543,"KDELC1","Up"
0.755400813596454,12.880820968254,8.56764427100679,3.70289673160399e-12,5.93004669655873e-10,17.454021418677,"GMNN","Up"
-1.79500658991231,12.2061780952381,-8.56187536778327,3.78941850453722e-12,6.02228273633285e-10,17.4314491608631,"C10orf10","Down"
-1.50442686074565,12.4905673174603,-8.54513847279045,4.05208513164694e-12,6.3909363905877e-10,17.3659529925897,"SLC2A3","Down"
-1.64497925657897,10.6299245714286,-8.54155165684518,4.11071047785831e-12,6.43465273973925e-10,17.3519150615495,"ODZ3","Down"
0.791005808114004,10.9273117380952,8.53786635263298,4.17183174456809e-12,6.48159440971365e-10,17.3374910466896,"SENP8","Up"
1.35517698245611,10.2036693253968,8.52895142282457,4.32348303985919e-12,6.66745136346878e-10,17.3025960520082,"TBX10","Up"
-0.957326512061442,13.7306178809524,-8.49920752639119,4.87060427851331e-12,7.35936816723106e-10,17.186145674141,"LDLR","Down"
-3.11817622697372,10.6141410079365,-8.49892372815052,4.87614585471691e-12,7.35936816723106e-10,17.1850343835968,"IL1RL1","Down"
1.19036906907891,10.9140415238095,8.49881852650607,4.87820167672744e-12,7.35936816723106e-10,17.1846224365369,"NOL3","Up"
1.07272780482453,11.8734800079365,8.49594545262091,4.93468375623094e-12,7.39102022453035e-10,17.1733719059167,"RMND1","Up"
-1.39461924780706,13.2259713095238,-8.45524970058297,5.80888591470704e-12,8.62011404676861e-10,17.0139746895822,"SDC4","Down"
0.748870098684174,12.4076112380952,8.45399785263758,5.8381098063998e-12,8.62011404676861e-10,17.0090703228498,"TUBG1","Up"
1.15384046710523,11.3350526031746,8.42796459539013,6.48039530133555e-12,9.50108097031724e-10,16.9070649785758,"CX3CR1","Up"
0.557683391447336,11.9728501269841,8.41945212842608,6.7054217341089e-12,9.76225000576316e-10,16.8737047908859,"CYBASC3","Up"
0.653318076754356,13.1362408809524,8.40968500890964,6.97328275399817e-12,1.00817203927422e-09,16.8354240476332,"DOLPP1","Up"
-1.29329844736845,11.886316515873,-8.40147697877145,7.20666465597906e-12,1.03472794119192e-09,16.8032509803932,"SPRY4","Down"
