"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"1-acylglycerol-LD-PI pool",15,0.095,4.162,-0.934,0.825,"PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE; LIPC",0.9929
"3-Hydroxydecanoylcarnitine",3,0.072,1.336,-0.934,0.8248,"CPT1C; CPT1A; CPT1B",0.9929
"keratan sulfate I biosynthesis, precursor 32",6,0.203,2.312,-0.934,0.8248,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"Decadienoyl Carnitine",3,0.072,1.336,-0.935,0.8252,"CPT1C; CPT1A; CPT1B",0.9929
"zymosterol",4,0.22,1.724,-0.936,0.8254,"HSD17B4; EBP; HSD17B7; DHCR24",0.9929
"Glutaryl Carnitine",3,0.072,1.336,-0.938,0.8258,"CPT1C; CPT1A; CPT1B",0.9929
"3-Hydroxyhexadecenoylcarnitine",3,0.072,1.336,-0.941,0.8268,"CPT1C; CPT1A; CPT1B",0.9929
"trans,cis-2,9-eicosadienoyl-CoA",7,0.131,2.537,-0.941,0.8267,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR",0.9929
"1-acylglycerol-LD-PC pool",15,0.095,4.162,-0.942,0.8269,"PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE; LIPC",0.9929
"17beta-estradiol-3,4-quinone",16,0.062,4.357,-0.942,0.8269,"GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2; GSTO2",0.9929
"Hexadecanedioic Acid Mono-L-Carnitine Ester",3,0.072,1.336,-0.944,0.8275,"CPT1C; CPT1A; CPT1B",0.9929
"3-oxoundecanoyl-CoA",5,0.049,1.992,-0.946,0.8278,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"5-S-glutathionyl-dopachrome hydroquinone",16,0.062,4.357,-0.946,0.828,"GSTK1; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTM2; GSTO2",0.9929
"3-Hydroxy-Tetradecanoyl Carnitine",3,0.072,1.336,-0.948,0.8284,"CPT1C; CPT1A; CPT1B",0.9929
"4-hydroxy-17beta-estradiol-2-S-glutathione",16,0.062,4.357,-0.948,0.8283,"GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2; GSTO2",0.9929
"keratan sulfate I biosynthesis, precursor 17",6,0.203,2.312,-0.948,0.8284,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"keratan sulfate I biosynthesis, precursor 11",6,0.203,2.312,-0.951,0.8291,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"2,4,7,10,13,16-Docosahexenoyl Coenzyme A",4,0.08,1.736,-0.952,0.8293,"ACADVL; ACOX1; DECR1; DECR2",0.9929
"PA6",4,-0.029,1.725,-0.952,0.8295,"ST6GAL1; ST6GAL2; FUCA1; FUCA2",0.9929
"hexacosenoylcarnitine",5,0.098,2.065,-0.952,0.8294,"CPT1C; CPT1A; CPT1B; SLC22A5; CRAT",0.9929
"3-Hydroxyhexadecanoylcarnitine",3,0.072,1.336,-0.953,0.8298,"CPT1C; CPT1A; CPT1B",0.9929
"4-hydroxyestrone-2-S-glutathione",16,0.062,4.357,-0.954,0.8299,"GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2; GSTO2",0.9929
"Tetradecadienoyl Coenzyme A",3,0.072,1.336,-0.955,0.8302,"CPT1C; CPT1A; CPT1B",0.9929
"1-nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",14,-0.003,3.931,-0.956,0.8304,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"Tetradecenoyl Carnitine",3,0.072,1.336,-0.956,0.8305,"CPT1C; CPT1A; CPT1B",0.9929
"beta-1,4-mannose-N-acetylglucosamine",4,-0.017,1.717,-0.956,0.8304,"MAN2C1; MAN2B1; MAN2B2; MANBA",0.9929
"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4",6,-0.174,2.315,-0.956,0.8305,"KL; GUSB; HEXB; HEXD; HEXA; ARSB",0.9929
"keratan sulfate II (core 4-linked), biosynthesis, precursor 6",6,0.203,2.312,-0.956,0.8305,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"trans,cis-2,8,11-eicosatrienoyl-CoA",7,0.131,2.537,-0.956,0.8305,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR",0.9929
"2(S),6-dimethyl-heptanoyl-CoA",3,-0.054,1.318,-0.957,0.8306,"AMACR; ACADL; ACADM",0.9929
"trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA",4,0.131,1.692,-0.957,0.8306,"ECI2; ECI1; EHHADH; HADHA",0.9929
"18-COOH-(16E)-dinor-LTE5-CoA",5,-0.117,2.054,-0.958,0.8309,"ACOX3; ACAA1; ACOX1; ACOX2; DECR2",0.9929
"keratan sulfate II (core 4-linked), biosynthesis, precursor 9",6,0.203,2.312,-0.958,0.8311,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate",5,0.049,1.992,-0.961,0.8317,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"[myosin light chain]-phosphate",4,-0.19,1.643,-0.962,0.8321,"MYLK2; MYLK3; MYLK; MYLK4",0.9929
"1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",14,-0.003,3.931,-0.963,0.8322,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"keratan sulfate I biosynthesis, precursor 26",6,0.203,2.312,-0.964,0.8324,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"3-oxopentadecanoyl-CoA",5,0.049,1.992,-0.965,0.8328,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"[myosin light chain]",4,-0.19,1.643,-0.965,0.8327,"MYLK2; MYLK3; MYLK; MYLK4",0.9929
"3-Hydroxy Trans5,8Tetradecadienoyl Carnitine",3,0.072,1.336,-0.967,0.8331,"CPT1C; CPT1A; CPT1B",0.9929
"Decenoyl Coenzyme A",3,0.072,1.336,-0.967,0.8332,"CPT1C; CPT1A; CPT1B",0.9929
"glutathionyl-3-hydroxykynurenine glucoside",16,0.062,4.357,-0.967,0.8333,"GSTK1; MGST1; GSTZ1; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS",0.9929
"(2E)-tricosenoyl-CoA",6,0.177,2.279,-0.969,0.8336,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECR",0.9929
"3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate",5,0.049,1.992,-0.972,0.8344,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"Dodecenoyl Carnitine",3,0.072,1.336,-0.972,0.8346,"CPT1C; CPT1A; CPT1B",0.9929
"trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA",7,0.131,2.537,-0.973,0.8347,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR",0.9929
"trans,cis-2,15-tetracosadienoyl-CoA",14,0.139,3.956,-0.976,0.8356,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ACOX3",0.9929
"5-S-glutathionyl-adrenochrome hydroquinone",16,0.062,4.357,-0.977,0.8358,"GSTK1; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTM2; GSTO2",0.9929
"Octenoyl Coenzyme A",3,0.072,1.336,-0.977,0.8357,"CPT1C; CPT1A; CPT1B",0.9929
"1-acylglycerol-LD-PS pool",15,0.095,4.162,-0.978,0.836,"PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE; LIPC",0.9929
"3-oxononanoyl-CoA",5,0.049,1.992,-0.98,0.8365,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"Fe3+",9,0.094,3.02,-0.98,0.8365,"CP; FTH1; FXN; HPS3; HMOX1; HMOX2; CYBRD1; SLC40A1",0.9929
"keratan sulfate I biosynthesis, precursor 35",6,0.203,2.312,-0.981,0.8366,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"de-Fuc form of PA6",3,0.111,1.372,-0.982,0.8369,"AGA; FUCA1; FUCA2",0.9929
"3-Hydroxy Butyryl Carnitine",3,0.072,1.336,-0.984,0.8374,"CPT1C; CPT1A; CPT1B",0.9929
"S-(2,2-dichloro-1-hydroxy)ethyl glutathione",14,-0.003,3.931,-0.984,0.8373,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"dolichyl-D-glucosyl-phosphate",4,-0.041,1.641,-0.984,0.8374,"ALG5; ALG6; ALG8; ALG10",0.9929
"2,6-dimethyl-trans-2-heptenoyl-CoA",4,0.041,1.683,-0.986,0.8379,"ACADL; ACADM; HADHA; ECHS1",0.9929
"Tetradecenoyl Coenzyme A",3,0.072,1.336,-0.986,0.838,"CPT1C; CPT1A; CPT1B",0.9929
"trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA",7,0.131,2.537,-0.987,0.8382,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR",0.9929
"3-Hydroxy-Octadecenoyl Carnitine",3,0.072,1.336,-0.99,0.8389,"CPT1C; CPT1A; CPT1B",0.9929
"Decadienoyl Coenzyme A",3,0.072,1.336,-0.99,0.8388,"CPT1C; CPT1A; CPT1B",0.9929
"1-acylglycerol-LD-PE pool",15,0.095,4.162,-0.991,0.8391,"PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE; LIPC",0.9929
"3-Hydroxyoctadecanoyl Carnitine",3,0.072,1.336,-0.992,0.8394,"CPT1C; CPT1A; CPT1B",0.9929
"3-oxo-8(S)-hydroxy-hexadeca-(6E,10Z)-dienoate",5,0.049,1.992,-0.992,0.8395,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"trans,cis-2,11-docosadienoyl-CoA",7,0.131,2.537,-0.993,0.8396,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR",0.9929
"trans,cis-2,11-eicosadienoyl-CoA",18,0.108,4.58,-0.994,0.8399,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ACADL",0.9929
"1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene",14,-0.003,3.931,-0.995,0.8402,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"5-S-glutathionyl-noradrenochrome hydroquinone",16,0.062,4.357,-0.996,0.8403,"GSTK1; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTM2; GSTO2",0.9929
"2-hydroxyestrone-1-S-glutathione",16,0.062,4.357,-0.997,0.8406,"GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2; GSTO2",0.9929
"6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate",5,-0.014,1.914,-0.997,0.8406,"ACAA2; HADHA; HADHB; ACOX3; ACOX1",0.9929
"3-oxotridecanoyl-CoA",5,0.049,1.992,-1.001,0.8416,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"3(S)-hydroxy-11-cis-eicosenoyl-CoA",15,0.162,4.178,-1.002,0.8418,"HSD17B12; HACD1; HACD3; HIGD2A; HACD2; HACD4; HADHA; HSD17B10",0.9929
"3-Hydroxydodecanoylcarnitine",3,0.072,1.336,-1.002,0.8417,"CPT1C; CPT1A; CPT1B",0.9929
"S-(formylmethyl)glutathione",14,-0.003,3.931,-1.002,0.8418,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",14,-0.003,3.931,-1.004,0.8424,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"3-Hydroxyoctadecadienoylcarnitine",3,0.072,1.336,-1.004,0.8424,"CPT1C; CPT1A; CPT1B",0.9929
"3-oxo-4(R),8-dimethyl-nonanoyl-CoA",5,0.049,1.992,-1.004,0.8423,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"D-alanine",4,0.171,1.693,-1.005,0.8426,"SLC7A10; SLC3A2; SLC36A1; DAO",0.9929
"S-(1,2-dichlorovinyl)glutathione",14,-0.003,3.931,-1.005,0.8425,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",14,-0.003,3.931,-1.006,0.8428,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"(S)-3-hydroxy-2-methylbutyryl-CoA",3,0.116,1.286,-1.006,0.8427,"ECHS1; HSD17B10; HADH",0.9929
"1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",14,-0.003,3.931,-1.006,0.8428,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"GT3",3,0.291,1.288,-1.006,0.8428,"ST8SIA1; B4GALNT1; SLC33A1",0.9929
"hydrobromic acid",15,-0.027,4.202,-1.007,0.8429,"CYP2E1; GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3",0.9929
"trans,cis-2,13-docosadienoyl-CoA",18,0.108,4.58,-1.007,0.8429,"HACD1; HACD3; HIGD2A; HACD2; HACD4; TECRL; TECR; ACADL",0.9929
"S-(2-chloroacetyl)glutathione",14,-0.003,3.931,-1.008,0.8432,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"keratan sulfate I biosynthesis, precursor 23",6,0.203,2.312,-1.008,0.8432,"CHST4; CHST2; B4GALT3; B4GALT2; B4GALT1; B4GALT5",0.9929
"3-Hydroxy Tetradecenoyl-7-Carnitine",3,0.072,1.336,-1.009,0.8436,"CPT1C; CPT1A; CPT1B",0.9929
"Tetradecadienoyl Carnitine",3,0.072,1.336,-1.01,0.8437,"CPT1C; CPT1A; CPT1B",0.9929
"3-oxo-4-methyl-pentanoyl-CoA",5,0.049,1.992,-1.011,0.8439,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"1-acylglycerol-3P-13,16-docosa",4,-0.222,1.586,-1.012,0.8441,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"3-oxoheptanoyl-CoA",5,0.049,1.992,-1.012,0.8442,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"3-oxopentanoyl-CoA",5,0.049,1.992,-1.013,0.8445,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"1-acylglycerol-3P-5,8,11-eico",4,-0.222,1.586,-1.014,0.8447,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"Decenoyl Carnitine",3,0.072,1.336,-1.015,0.8449,"CPT1C; CPT1A; CPT1B",0.9929
"1-acylglycerol-3P-eico",4,-0.222,1.586,-1.016,0.8453,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-LD-TG1 pool",15,0.095,4.162,-1.016,0.8451,"PNPLA3; LIPG; CEL; PNLIPRP1; DAGLB; PNPLA2; LIPE; LIPC",0.9929
"4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene",14,-0.003,3.931,-1.017,0.8453,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"3-oxo-(2S)-methylisocapryloyl-CoA",5,0.049,1.992,-1.018,0.8457,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"creatine-phosphate",3,0.59,1.327,-1.018,0.8457,"CKMT2; CKB; CKM",0.9929
"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",14,-0.003,3.931,-1.019,0.846,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"11-cis-retinal",6,0.006,2.214,-1.021,0.8464,"RDH5; DHRS4; RDH16; HSD17B6; RBP2; RBP1",0.9929
"2-methylacetoacetyl-CoA",5,0.049,1.992,-1.021,0.8463,"ACAA2; HADHA; HADHB; HSD17B10; HADH",0.9929
"3-oxoheptadecanoyl-CoA",5,0.049,1.992,-1.021,0.8463,"HSD17B10; HADHA; HADH; ACAA2; HADHB",0.9929
"aflatoxin B1-exo-8,9-epoxide-GSH",14,-0.003,3.931,-1.023,0.8469,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"(2E)-hexenoyl-CoA",11,-0.033,3.426,-1.024,0.847,"MECR; ACOX3; ACOX1; EHHADH; ECI1; ECI2; HADHA; ACADSB",0.9929
"1-acylglycerol-3P-9-octade",4,-0.222,1.586,-1.024,0.8471,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-10,13,16-docosa",4,-0.222,1.586,-1.028,0.8481,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",14,-0.003,3.931,-1.028,0.8481,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"8(S)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate",5,-0.014,1.914,-1.028,0.848,"ACAA2; HADHA; HADHB; ACOX3; ACOX1",0.9929
"1-acylglycerol-3P-ol",4,-0.222,1.586,-1.031,0.8487,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"2-(S-glutathionyl)acetyl glutathione",14,-0.003,3.931,-1.031,0.8488,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"3,7,10,13-Hexadecatetraenoyl Coenzyme A",5,0.135,1.886,-1.033,0.8492,"ECI1; EHHADH; ECI2; DECR1; DECR2",0.9929
"5-Dodecenoyl Coenzyme A",7,0.075,2.505,-1.034,0.8495,"ACAA2; ACADM; ECHS1; HADH; HADHA; ACADVL; HADHB",0.9929
"7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene",14,-0.003,3.931,-1.036,0.85,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"hypoxanthine",5,-0.052,1.936,-1.036,0.8498,"SLC29A3; HPRT1; XDH; PNP; SLC29A2",0.9929
"1-acylglycerol-3P-6,9,12,15-octa",4,-0.222,1.586,-1.037,0.8502,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"Glycyl-Glycine",3,-0.034,1.273,-1.037,0.8501,"CNDP1; CNDP2; SLC15A1",0.9929
"Octenoyl Carnitine",3,0.072,1.336,-1.037,0.8501,"CPT1C; CPT1A; CPT1B",0.9929
"hydrochloride",14,-0.003,3.931,-1.038,0.8504,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"hepoxilin A3-c",17,0.065,4.35,-1.041,0.851,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"1-acylglycerol-3P-4,7,10,13,16,19-doco",4,-0.222,1.586,-1.042,0.8512,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"2-(S-glutathionyl)acetyl chloride",14,-0.003,3.931,-1.042,0.8512,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"6(S)-hydroxy-tetradeca-(4E,8Z)-dienoate",5,-0.014,1.914,-1.042,0.8513,"ACAA2; HADHA; HADHB; ACOX3; ACOX1",0.9929
"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 4",12,0.194,3.495,-1.045,0.852,"CSGALNACT1; CHSY3; CHPF; CSGALNACT2; CHSY1; CHST13; CHST11; CHST12",0.9929
"1-acylglycerol-3P-10-heptade",4,-0.222,1.586,-1.046,0.8523,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"S-(PGA2)-glutathione",17,0.065,4.35,-1.046,0.8522,"PTGES; GSTM3; GSTM1; GSTA4; GSTM4; HPGDS; GSTK1; GSTM2",0.9929
"1-acylglycerol-3P-7-octade",4,-0.222,1.586,-1.052,0.8536,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-13-octade",4,-0.222,1.586,-1.053,0.8539,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-9-tetrade",4,-0.222,1.586,-1.053,0.8539,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"13-cis-retinal",4,0.025,1.586,-1.053,0.8538,"ALDH1A1; ALDH1A2; CYP26A1; RDH5",0.9929
"L-cysteate",4,0.016,1.612,-1.053,0.8539,"SULT1A3; CSAD; GOT1; GOT2",0.9929
"1-acylglycerol-3P-9,12,15,18-tetraco",4,-0.222,1.586,-1.056,0.8545,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"dopaminochrome",20,0.216,4.865,-1.057,0.8547,"GSTK1; LPO; MPO; TPO; CRYZ; GSTM3; GSTM1; GSTA4",0.9929
"1-acylglycerol-3P-arach",4,-0.222,1.586,-1.059,0.8552,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-9,12,15,18,21-tetra",4,-0.222,1.586,-1.063,0.8561,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"dihydrobiopterin",6,-0.125,2.179,-1.063,0.8562,"TPH1; TPH2; QDPR; TH; PCBD2; PCBD1",0.9929
"1-acylglycerol-3P-9-eicose",4,-0.222,1.586,-1.064,0.8563,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-nanode",4,-0.222,1.586,-1.065,0.8567,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-6,9,12,15,18,21-tetra",4,-0.222,1.586,-1.067,0.8569,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-palm",4,-0.222,1.586,-1.067,0.857,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-13,16,19-doco",4,-0.222,1.586,-1.068,0.8573,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-linolen",4,-0.222,1.586,-1.068,0.8572,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"tRNA(met)",15,0.004,4.03,-1.068,0.8572,"MARS1; ALB; SERPINA3; SERPINA1; APOB; APOC1; APOC2; APOC3",0.9929
"1-acylglycerol-3P-tetraco",4,-0.222,1.586,-1.071,0.8579,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-11-docose",4,-0.222,1.586,-1.072,0.8581,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-palmn",4,-0.222,1.586,-1.073,0.8583,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"prostaglandin E3",5,0.108,1.903,-1.073,0.8583,"PTGES2; PTGES3; PTGES; SLCO1B1; SLCO2A1",0.9929
"Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)",15,-0.009,4.077,-1.074,0.8585,"GALNT5; GALNT1; GALNT7; GALNT2; GALNT14; GALNT10; GALNT12; GALNT8",0.9929
"1-acylglycerol-3P-10,13,16,19-doco",4,-0.222,1.586,-1.075,0.8588,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-11-eico",4,-0.222,1.586,-1.076,0.8591,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-hexacosa",4,-0.222,1.586,-1.076,0.859,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"butyryl-CoA",31,-0.034,6.305,-1.076,0.8591,"ACSM3; ACSM2B; ACSM1; ACSM5; ACSM4; ACSM2A; ESCO2; OXSM",0.9929
"1-acylglycerol-3P-12,15,18,21-tetra",4,-0.222,1.586,-1.078,0.8594,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-13-eicose",4,-0.222,1.586,-1.078,0.8594,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-6,9-octa",4,-0.222,1.586,-1.078,0.8594,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"4Fe4S iron-sulfur cluster",12,0.055,3.531,-1.078,0.8594,"FDXR; ISCA2; NFU1; GCSH; FDX1; LIAS; ISCA1; HSPA9",0.9929
"1-acylglycerol-3P-cis-vac",4,-0.222,1.586,-1.079,0.8597,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-11,14,17-eico",4,-0.222,1.586,-1.084,0.8608,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-5,8,11,14,17-eico",4,-0.222,1.586,-1.084,0.8608,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-trico",4,-0.222,1.586,-1.084,0.8607,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"glutathione episulfonium ion",14,-0.003,3.931,-1.085,0.861,"GSTK1; GSTM2; GSTM1; GSTP1; GSTM3; GSTO2; MGST3; MGST1",0.9929
"(5Z)-dodecenoyl-CoA",14,-0.033,3.799,-1.086,0.8612,"ACAA2; HADHA; HADHB; ECI2; ECI1; ECH1; ACADL; ACADSB",0.9929
"1-acylglycerol-3P-5-tetrade",4,-0.222,1.586,-1.087,0.8614,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-lin",4,-0.222,1.586,-1.087,0.8614,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-11,14-eicosa",4,-0.222,1.586,-1.088,0.8618,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"Trans4Decenoyl Coenzyme A",4,0.008,1.603,-1.088,0.8617,"ACADM; ACAA2; ECHS1; HADH",0.9929
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1",4,0.039,1.585,-1.088,0.8617,"ARSB; HEXB; HEXD; HEXA",0.9929
"globoside",8,0.079,2.683,-1.088,0.8617,"HEXB; HEXD; HEXA; B3GALT5; GBGT1; NAGA; B3GALNT1; B3GNT3",0.9929
"1-acylglycerol-3P-13-docose",4,-0.222,1.586,-1.09,0.8621,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1",4,0.039,1.585,-1.09,0.862,"ARSB; HEXB; HEXD; HEXA",0.9929
"(R)-3-hydroxybutanoyl-CoA",5,-0.027,1.839,-1.091,0.8623,"DBI; CPT1C; CPT1A; CPT1B; ECHDC2",0.9929
"1-acylglycerol-3P-docosa",4,-0.222,1.586,-1.092,0.8626,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-15-tetra",4,-0.222,1.586,-1.094,0.863,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-8,11-eico",4,-0.222,1.586,-1.097,0.8636,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"1-acylglycerol-3P-stea",4,-0.222,1.586,-1.097,0.8636,"GPAT4; GPAT2; GPAT3; GPAM",0.9929
"3-mercaptolactate",4,-0.227,1.601,-1.098,0.8638,"LDHB; LDHC; LDHAL6A; LDHAL6B",0.9929
