"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"benzo[a]pyrene",22,-0.415,7.448,1.26,0.1038,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.5274
"10-formyl-THF",11,-0.079,5.597,1.256,0.1046,"ALDH1L2; ALDH1L1; MTHFD1; MTHFD2; MTHFD1L; MTHFD2L; GART; ATIC",0.5304
"PI pool",57,0.037,11.187,1.25,0.1057,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; CDIPT",0.5337
"myo-inositol-polyphosphate",3,-0.217,3.541,1.25,0.1057,"NUDT10; NUDT3; NUDT4",0.5337
"phosphatidate-LD-TAG pool",27,0.13,8.029,1.247,0.1062,"DGKI; DGKZ; AGPAT4; AGPAT2; MBOAT1; AGPAT3; AGPAT1; AGPAT5",0.535
"methylamine",7,-0.225,4.694,1.246,0.1065,"MAOA; MAOB; AOC1; AOC2; AOC3; RHBG; RHCG",0.5354
"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA",11,0.229,5.565,1.244,0.1068,"ACAA2; HADHA; HADHB; MYO5B; ACAA1; ACOT7; BAAT; ACOT6",0.5358
"palmitoyl-CoA",69,0.166,12.088,1.24,0.1075,"SCD; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6",0.5382
"acetate",53,0.046,10.848,1.232,0.109,"BCHE; ACHE; ALDH3A1; ALDH1A3; ALDH3B1; CYP17A1; BCO2; ACOT8",0.5431
"(S)-3-sulfolactate",3,0.068,3.376,1.231,0.1091,"MDH1; MDH1B; MDH2",0.5431
"nonadecanoyl-CoA",36,0.166,9.119,1.23,0.1093,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.5431
"estradiol-17beta",47,-0.124,10.204,1.229,0.1094,"HSD17B7; HSD17B12; HSD17B2; HSD17B8; HSD17B11; HSD17B1; HSD17B6; CYP2C18",0.5431
"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA",11,0.229,5.565,1.221,0.1111,"ACAA2; HADHA; HADHB; MYO5B; ACAA1; ACOT7; BAAT; ACOT6",0.5504
"GSH",67,0.105,12.019,1.213,0.1126,"GPX3; GPX8; PRDX6; GPX2; GPX4; GPX1; GPX7; ALOX12",0.5567
"allopurinol",4,-0.188,3.84,1.211,0.113,"SLC28A2; XDH; AOX1; SLC22A7",0.5575
"1D-myo-inositol-1,4-bisphosphate",17,-0.038,6.602,1.206,0.1139,"INPP5A; INPP5K; INPP1; PLCD1; PLCB4; PLCB2; PLCE1; PLCH2",0.5606
"trichloroacetate",13,-0.198,5.913,1.205,0.1141,"ALDH3A1; ALDH1A3; ALDH3B1; CYP2C18; CYP3A5; CYP3A43; CYP2C9; CYP3A7",0.5606
"ceramide-1P pool",9,0.323,5.142,1.203,0.1145,"CERK; PLPP3; LPIN3; PLPP2; PLPP5; LPIN1; PLPP4; PLPPR2",0.5614
"sulfotaurolithocholate",4,-0.133,3.737,1.2,0.115,"SULT2A1; SLCO1B3; SLCO1A2; ABCC1",0.5625
"(6Z,9Z)-octadecadienoyl-CoA",44,0.156,9.847,1.199,0.1152,"FADS2; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6",0.5625
"noradrenaline",15,-0.022,6.171,1.197,0.1156,"SLC18A2; SLC18A1; SLCO1B3; SLCO1A2; SLC22A3; SLC22A2; SLC29A4; SLC22A1",0.5633
"chenodeoxycholoyl-CoA",11,0.197,5.542,1.194,0.1163,"BAAT; MYO5B; ACAA1; SCP2; ACOT7; ACOT1; ACOT8; ACOT4",0.5649
"pyridoxal-phosphate",7,0.162,4.607,1.191,0.1168,"KLHL23; SH3BP1; PHOSPHO2; PDXP; PDXK; PNPO; SCLY",0.5649
"but-2-enoyl-[ACP]",3,0.28,3.441,1.189,0.1172,"FASN; MECR; PECR",0.5649
"Docosanedioicacid",4,-0.174,3.821,1.188,0.1175,"CYP4F2; CYP4F3; ADH5; ALDH3A2",0.5649
"L-lactate",20,0.013,7.021,1.188,0.1175,"SLC16A1; LDHB; LDHAL6B; LDHA; LDHC; LDHAL6A; SLC16A4; SLC16A5",0.5649
"coproporphyrin I",3,-0.352,3.442,1.187,0.1176,"ABCC2; SLCO1B1; SLCO1B3",0.5649
"propane-1,2-diol",11,0.202,5.555,1.186,0.1178,"AKR1B1; AKR1B10; AKR7A2; AKR1A1; ADH4; ADH5; ADH7; ADHFE1",0.5649
"3-oxohexacosanoyl-CoA",10,0.356,5.301,1.185,0.118,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12; EHHADH; ACAA1",0.5649
"3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA",10,0.356,5.301,1.184,0.1181,"EHHADH; ACAA1; HSD17B4; MYO5B; ELOVL5; ELOVL7; ELOVL2; ELOVL6",0.5649
"D-aspartate",6,-0.161,4.424,1.184,0.1183,"SLC1A3; SLC1A7; SLC1A1; SLC1A6; SLC1A2; DDO",0.5649
"3-keto-4-methylzymosterol",3,0.86,3.384,1.181,0.1189,"NSDHL; MSMO1; HSD17B7",0.5666
"malate",12,0.298,5.728,1.173,0.1204,"SLC25A1; ME3; ME2; RWDD2A; ME1; MDH1; MDH1B; MDH2",0.5726
"malonyl-CoA",17,0.315,6.511,1.17,0.121,"ELOVL6; ELOVL5; ELOVL2; FASN; MCAT; ELOVL7; ELOVL1; LOXL2",0.5741
"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA",11,0.229,5.565,1.169,0.1212,"ACAA2; HADHA; HADHB; MYO5B; ACAA1; ACOT7; BAAT; ACOT6",0.5741
"dCMP",18,0.098,6.791,1.166,0.1219,"DCTD; ACP3; NT5C3A; NT5C2; NT5E; NT5C; RBAK; NT5C3B",0.5763
"18-CoA-18-oxo-dinor-LTB4",11,0.229,5.565,1.16,0.1229,"ACAA2; HADHA; HADHB; MYO5B; ACAA1; ACOT7; BAAT; ACOT6",0.5792
"2-(4-carboxy-1-hydroxybutyl)thiamine diphosphate",3,-0.092,3.288,1.16,0.123,"DHTKD1; OGDH; DLST",0.5792
"2-(2-methyl-1-hydroxybutyl)thiamine diphosphate",3,-0.16,3.317,1.153,0.1244,"BCKDHA; DBT; BCKDHB",0.5824
"6'-beta-hydroxy-lovastatin-acid form",4,-0.501,3.723,1.152,0.1247,"PON3; CYP3A5; CYP3A4; CYP2C8",0.5824
"4-hydroxy-17beta-estradiol",7,0.339,4.594,1.151,0.1249,"CYP3A4; LRTOMT; COMT; LPO; TPO; PRDX6; MPO",0.5824
"GM2",19,0.109,6.882,1.151,0.1249,"B4GALNT1; HEXB; HEXD; HEXA; B3GALT4; GLB1L; LCT; GLB1",0.5824
"[protein]-L-cysteine",5,0.063,4.007,1.151,0.1249,"FNTB; FNTA; MGMT; EGFL8; PPT1",0.5824
"homocysteine-thiolactone",3,-0.206,3.463,1.149,0.1253,"PON2; PON1; PON3",0.5831
"3-oxo-hexacosenoyl-CoA",10,0.356,5.301,1.144,0.1264,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12; EHHADH; ACAA1",0.5856
"3-oxo-cis-15-tetracosaenoyl-CoA",10,0.356,5.301,1.142,0.1267,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12; EHHADH; ACAA1",0.5856
"nm4masn",3,0.044,3.388,1.14,0.1272,"MGAT1; MAN2A1; MAN2A2",0.5856
"pyridoxine-phosphate",5,0.065,4.046,1.14,0.1272,"PDXK; PNPO; SCLY; PHOSPHO2; PDXP",0.5856
"2-(1-hydroxypropyl)thiamine diphosphate",3,-0.16,3.317,1.139,0.1273,"BCKDHA; BCKDHB; DBT",0.5856
"GDP-mannose",10,0.136,5.251,1.138,0.1275,"GMPPA; GMPPB; GMDS; ALG1; ALG2; ALG11; ALG12; DPM2",0.5856
"4-oxo-9-cis-retinoate",37,0.104,9.096,1.137,0.1278,"CYP26B1; UGT3A1; UGT2B4; UGT1A6; UGT2B7; UGT1A4; UGT2A1; UGT1A3",0.5856
"isobutyryl-CoA",7,-0.198,4.713,1.137,0.1278,"ACAA2; HADHA; HADHB; GLYAT; ACADS; ACADSB; DBT",0.5856
"13(S)-HPODE",8,0.437,4.821,1.134,0.1283,"ALOX15; GPX3; GPX8; PRDX6; GPX2; GPX4; GPX1; GPX7",0.5861
"6'-beta-hydroxy-lovastatin lactone form",4,-0.501,3.723,1.134,0.1284,"PON3; CYP3A5; CYP3A4; CYP2C8",0.5861
"isocaproic-aldehyde",3,1.231,3.408,1.131,0.129,"CYP11A1; AKR1B1; AKR1B10",0.5877
"6'-exomethylene-lovastatin lactone form",4,-0.501,3.723,1.13,0.1293,"PON3; CYP3A5; CYP3A4; CYP2C8",0.5879
"20-oxo-LTB4",12,-0.165,5.615,1.125,0.1302,"ADH4; ADH5; ADH7; ADHFE1; ADH6; ADH1C; ADH1A; ALDH2",0.5909
"SM pool",16,0.239,6.415,1.12,0.1314,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; SGMS2",0.5952
"taurolithocholate",5,-0.368,4.071,1.117,0.1319,"BAAT; SULT2A1; SLC10A1; SLCO1B3; SLCO1A2",0.5963
"17-HETE",23,-0.398,7.329,1.113,0.1329,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.5986
"S-(2-methylbutanoyl)-dihydrolipoamide",3,-0.16,3.317,1.113,0.1328,"BCKDHA; DBT; BCKDHB",0.5986
"isoleucine",34,0.136,8.697,1.108,0.134,"ACE2; BCAT1; BCAT2; SLC36A1; SLC43A1; SLC7A7; SLC7A5; SLC3A2",0.6024
"3''-hydroxy-lovastatin lactone form",4,-0.501,3.723,1.103,0.1351,"PON3; CYP3A5; CYP3A4; CYP2C8",0.6055
"[protein]-L-arginine",7,0.951,4.558,1.102,0.1352,"PADI1; PADI4; PADI2; SIRT6; ART4; ART3; ADPRH",0.6055
"glucuronate",5,-0.093,4.064,1.098,0.1361,"KL; GUSB; AKR1A1; MIOX; SLC17A5",0.6069
"4-hydroxyestrone",7,0.339,4.594,1.096,0.1364,"CYP3A4; LRTOMT; COMT; LPO; TPO; PRDX6; MPO",0.6069
"S-succinyldihydrolipoamide",3,-0.092,3.288,1.095,0.1367,"DHTKD1; OGDH; DLST",0.6069
"inositol-1-phosphate",20,-0.023,6.984,1.095,0.1368,"PLCD1; PLCB4; PLCB2; PLCE1; PLCH2; PLCG1; PLCXD2; PLCG2",0.6069
"lipoic acid",4,0.292,3.726,1.095,0.1368,"DLD; LIPA; CEL; SLC5A6",0.6069
"GM1b",7,-0.053,4.603,1.093,0.1372,"ST3GAL1; ST3GAL4; ST3GAL2; ST6GALNAC4; ST6GALNAC3; ST6GALNAC6; NEU3",0.6075
"3-hydroxypropionyl-CoA",20,-0.042,6.952,1.091,0.1376,"HIBCH; EHHADH; ECHS1; ADH5; AKR1B10; CBR4; HSD17B8; HSD17B11",0.6075
"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al",14,-0.18,6.003,1.088,0.1383,"CYP27A1; ADH1A; ADH4; ADH5; ADH7; ADHFE1; ADH6; ADH1C",0.6075
"14,15-EET",50,-0.166,10.355,1.086,0.1386,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6075
"7-HETE",23,-0.398,7.329,1.086,0.1387,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6075
"N(omega)-(ADP-D-ribosyl)-L-arginine",4,0.184,3.68,1.086,0.1388,"SIRT6; ART4; ART3; ADPRH",0.6075
"11-HETE",23,-0.398,7.329,1.085,0.1389,"CYP2C18; CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1",0.6075
"androsterone-glucuronide",6,0.63,4.227,1.085,0.139,"UGT1A1; UGT2B28; UGT1A8; UGT2B17; UGT2B7; ABCC1",0.6075
"lysine",36,0.101,8.982,1.082,0.1396,"BTD; AASS; SLC36A1; SLC7A1; SLC7A2; KARS1; ALB; CTSA",0.6075
"stearoyl-CoA",53,0.141,10.669,1.082,0.1395,"SCD; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACOT4",0.6075
