"gs_name","gs_description","drug_name"
"CHENG_IMPRINTED_BY_ESTRADIOL","Genes whose CpG islands became hypermethylated in breast progenitor cells pre-exposed to estradiol [PubChem=5757].","estradiol"
"CHENG_RESPONSE_TO_NICKEL_ACETATE","Genes down-regulated in HPL1D cells (lung epithelium) upon exposure to nickel acetate [PubChem=9756].","acetate"
"CHEOK_RESPONSE_TO_HD_MTX_DN","Genes specifically down-regulated in pediatric acute lymphoblastic leukemia (ALL) patients by high-dose methotrexate (HDMTX) [PubChem=4112].","(hdmtx)"
"CHEOK_RESPONSE_TO_HD_MTX_UP","Genes specifically up-regulated in pediatric acute lymphoblastic leukemia (ALL) patients by high-dose methotrexate (HDMTX) [PubChem=4112].","(hdmtx)"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_HD_MTX_DN","Genes specifically down-regulated in pediatric acute lymphoblastic leukemia (ALL) patients by mercaptopurine [PubChem=667490] and high dose methotrexate (HDMTX) [PubChem=4112].","(hdmtx)"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_HD_MTX_UP","Genes specifically up-regulated in pediatric acute lymphoblastic leukemia (ALL) patients by mercaptopurine [PubChem=667490] and high dose methotrexate (HDMTX) [PubChem=4112].","(hdmtx)"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN","Genes specifically down-regulated in pediatric acute lymphoblastic leukemia (ALL) patients by mercaptopurine [PubChem=667490] and low-dose methotrexate (LDMTX) [PubChem=4112].","(ldmtx)"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_UP","Genes specifically up-regulated in pediatric acute lymphoblastic leukemia (ALL) patients by mercaptopurine [PubChem=667490] and low-dose methotrexate (LDMTX) [PubChem=4112].","(ldmtx)"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_DN","Genes specifically down-regulated in pediadric acute lymphoblastic leukemia (ALL) patients by mercaptopurine [PubChem=667490].","mercaptopurine"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_UP","Genes specifically up-regulated in pediadric acute lymphoblastic leukemia (ALL) patients by mercaptopurine [PubChem=667490].","mercaptopurine"
"CHIBA_RESPONSE_TO_TSA","Genes up-regulated in more than one of several human hepatoma cell lines by TSA [PubChem=5562].","tsa"
"CHIBA_RESPONSE_TO_TSA_DN","Cancer related genes down-regulated in any of four hepatoma cell lines following 24 h treatment with TSA [PubChem=5562].","tsa"
"CHIBA_RESPONSE_TO_TSA_UP","Cancer related genes up-regulated in any of four hepatoma cell lines following 24 h treatment with TSA [PubChem=5562].","tsa"
"CHUANG_OXIDATIVE_STRESS_RESPONSE_DN","Genes down-regulated in MCF7 cells (breast cancer) after treatment with the oxydants: hydrogen peroxyde, menadione, and t-butyl hydroperoxyde [PubChem=784;4055;6410].","hydroperoxyde"
"CHUANG_OXIDATIVE_STRESS_RESPONSE_UP","Genes up-regulated in MCF7 cells (breast cancer) after treatment with the oxydants: hydrogen peroxyde, menadione, and t-butyl hydroperoxyde [PubChem=784;4055;6410].","hydroperoxyde"
"COLDREN_GEFITINIB_RESISTANCE_DN","Genes down-regulated in NSCLC (non-small cell lung carcinoma) cell lines resistant to gefitinib [PubChem=123631] compared to the sensitive ones.","gefitinib"
"COLDREN_GEFITINIB_RESISTANCE_UP","Genes up-regulated in NSCLC (non-small cell lung carcinoma) cell lines resistant to gefitinib [PubChem=123631] compared to the sensitive ones.","gefitinib"
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN","Genes down-regulated in SH-SY5Y cells (neuroblastoma) after treatment with epoxomicin [PubChem=3035402], a protease inhibitor causing apoptosis.","epoxomicin"
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP","Genes up-regulated in SH-SY5Y cells (neuroblastoma) after treatment with epoxomicin [PubChem=3035402], a protease inhibitor causing apoptosis.","epoxomicin"
"CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN","Genes in the AKT1 [GeneID=207] pathway which depend on MTOR [GeneID=2475], sensitive to RAD001 (everolimus) [PubChem=6442177].","(everolimus)"
"CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP","Genes in the AKT1 [GeneID=207] pathway which are independent of MTOR [GeneID=2475], insensitive to RAD001 (everolimus) [PubChem=6442177].","(everolimus)"
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA","'Cancer prone response profile' (CPRP): genes changed in response to bisphenol A [PubChem=6623]  in epithelial cell cultures from patients at high risk of breast cancer.","a"
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2","'Cancer prone response profile' (CPRP): genes common to estradiol and bisphenol A [PubChem=5757;6623]  response of epithelial cell cultures from patients at high risk of breast cancer.","a"
"DAIRKEE_CANCER_PRONE_RESPONSE_E2","'Cancer prone response profile' (CPRP): genes changed in response to estradiol [PubChem=5757]  in epithelial cell cultures from patients at high risk of breast cancer.","estradiol"
"DALESSIO_TSA_RESPONSE","Top genes up-regulated in HEK293 cells (fibroblast) in response to trichostatin A (TSA) [PubChem=5562].","(tsa)"
"DARWICHE_SKIN_TUMOR_PROMOTER_DN","Genes down-regulated during skin tumor progression: epidermis treated with the carcinogen DMBA [PubChem=6001] followed by 20 weekly applications of the tumor promoter TPA [PubChem=4792], compared to the untreated skin.","tpa"
"DARWICHE_SKIN_TUMOR_PROMOTER_UP","Genes up-regulated during skin tumor progression: epidermis treated with the carcinogen DMBA [PubChem=6001] followed by 20 weekly applications of the tumor promoter TPA [PubChem=4792], compared to the untreated skin.","tpa"
"DELACROIX_RAR_TARGETS_DN","Genes bound by RARG [GeneID=5916] and down-regulated by tretinoin (all-trans retinoic acid, ATRA) [PubChem=444795] in MEF cells (embryonic fibroblast).","atra)"
"DELACROIX_RAR_TARGETS_UP","Genes bound by RARG [GeneID=5916] and up-regulated by tretinoin (all-trans retinoic acid, ATRA) [PubChem=444795] in MEF cells (embryonic fibroblast).","atra)"
"DELLA_RESPONSE_TO_TSA_AND_BUTYRATE","Genes up-regulated in HT-29 cells (colon cancer) by the combination of trichostatin A (TSA) and sodium butyrate [PubChem=5562;5222465].","butyrate"
"DIERICK_SEROTONIN_FUNCTION_GENES","Genes involved in serotonin [PubChem=5202] function, orthologs computed from D. melanogaster genes using InsParanoid resource.","serotonin"
"DOANE_RESPONSE_TO_ANDROGEN_DN","Genes down-regulated in MDA-MB-453 cells (class A ER(-) [GeneID=2099] breast cancer) after exposure to the androgen R1881 [PubChem=13766].","r1881"
