"gs_name","gs_description","drug_name"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_9","Genes co-regulated in uterus during a time course response to progesterone [PubChem=5994]: SOM cluster 9.","progesterone"
"YIH_RESPONSE_TO_ARSENITE_C1","Genes in cluster 1: strongly up-regulated in HFW cells (fibroblast) upon treatment with sodium arsenite [PubChem=26435] at all time points.","arsenite"
"YIH_RESPONSE_TO_ARSENITE_C2","Genes in cluster 2: moderately up-regulated in HFW cells (fibroblast) upon treatment with sodium arsenite [PubChem=26435] at all time points.","arsenite"
"YIH_RESPONSE_TO_ARSENITE_C3","Genes in cluster 3: delayed up-regulation in HFW cells (fibroblast) by sodium arsenite [PubChem=26435].","arsenite"
"YIH_RESPONSE_TO_ARSENITE_C4","Genes in cluster 4: immediate down-regulation in HFW cells (fibroblast) by sodium arsenite [PubChem=26435].","arsenite"
"YIH_RESPONSE_TO_ARSENITE_C5","Genes in cluster 5: slowly down-regulated in HFW cells (fibroblast) by sodium arsenite [PubChem=26435].","arsenite"
"ZERBINI_RESPONSE_TO_SULINDAC_DN","Selected genes down-regulated in DU145 and PC-3 cells (prostate cancer) after treatment with the NSAID (non-steroid anti-inflammatory drug) sulindac [PubChem=5352].","sulindac"
"ZERBINI_RESPONSE_TO_SULINDAC_UP","Selected genes up-regulated in DU145 and PC-3 cells (prostate cancer) after treatment with the NSAID (non-steroid anti-inflammatory drug) sulindac [PubChem=5352].","sulindac"
"ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN","Genes up-regulated in A549 cells (lung carcinoma) upon infection with RSV (respiratory syncytial virus) and down-regulated by further treatment with ribavirin [PubChem=5064].","ribavirin"
"ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_UP","Genes up-regulated in A549 cells (lung carcinoma) upon infection with RSV (respiratory syncytial virus) and up-regulated by further treatment with ribavirin [PubChem=5064].","ribavirin"
"ZHANG_RESPONSE_TO_CANTHARIDIN_DN","Genes down-regulated in HL-60 cells (promyeloid leukemia) by cantharidin [PubChem=6708701].","cantharidin"
"ZHANG_RESPONSE_TO_CANTHARIDIN_UP","Genes up-regulated in HL-60 cells (promyeloid leukemia) by cantharidin [PubChem=6708701].","cantharidin"
"ZHENG_RESPONSE_TO_ARSENITE_DN","Down-regulated in HEK293 cells (kidney epithelium) by treatment with sodium arsenite [PubChem=26435].","arsenite"
"ZHENG_RESPONSE_TO_ARSENITE_UP","Up-regulated in HEK293 cells (kidney epithelium) by treatment with sodium arsenite [PubChem=26435].","arsenite"
"ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN","Genes down-regulated in 3 out of 4 NSCLC cell lines (non-small cell lung cancer) after treatment with azacitidine [PubChem=9444] and TSA [PubChem=5562].","tsa"
"ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP","Genes up-regulated in 3 out of 4 NSCLC cell lines (non-small cell lung cancer) after treatment with azacitidine [PubChem=9444] and TSA [PubChem=5562].","tsa"
"ZIRN_TRETINOIN_RESPONSE_DN","Genes down-regulated in MS427 cells (Wilms tumor with normal WT1 [GeneID=7490]) after treatment with 10 microM tretinoin (ATRA) [PubChem=444795] for 24 h.","(atra)"
"ZIRN_TRETINOIN_RESPONSE_UP","Genes up-regulated in MS427 cells (Wilms tumor with normal WT1 [GeneID=7490]) after treatment with 10 microM tretinoin (ATRA) [PubChem=444795] for 24 h.","(atra)"
"ZIRN_TRETINOIN_RESPONSE_WT1_DN","Genes down-regulated in MZ128 cells (Wilms tumor with mutated WT1 [GeneID=7490]) after treatment with 10 microM tretinoin (ATRA) [PubChem=444795] for 24 h.","(atra)"
"ZIRN_TRETINOIN_RESPONSE_WT1_UP","Genes up-regulated in MZ128 cells (Wilms tumor with mutated WT1 [GeneID=7490]) after treatment with 10 microM tretinoin (ATRA) [PubChem=444795] for 24 h.","(atra)"
