"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","neg_log10_padj"
"ENSG00000109861",4057.998733,1.005923,0.085824,0,0,"Up",29.844221
"ENSG00000077684",1570.633927,1.185035,0.101712,0,0,"Up",29.593226
"ENSG00000114270",1546.907778,1.217748,0.104737,0,0,"Up",29.495079
"ENSG00000103485",865.199817,-1.196397,0.103105,0,0,"Down",29.335676
"ENSG00000138829",15701.218878,1.889145,0.166719,0,0,"Up",28.864868
"ENSG00000164442",7510.496392,1.528474,0.133661,0,0,"Up",28.864868
"ENSG00000110756",995.252222,1.553111,0.135901,0,0,"Up",28.783228
"ENSG00000155130",5654.021876,-1.172439,0.102449,0,0,"Down",28.768386
"ENSG00000144369",1303.263227,-1.329071,0.116401,0,0,"Down",28.55344
"ENSG00000143320",1492.110315,-1.612592,0.14212,0,0,"Down",28.476932
"ENSG00000181467",630.869571,-1.25616,0.110609,0,0,"Down",28.080067
"ENSG00000196507",988.841983,1.043,0.092545,0,0,"Up",27.512046
"ENSG00000008256",3716.565418,1.165351,0.104409,0,0,"Up",27.317672
"ENSG00000116584",2250.580891,-1.00166,0.090072,0,0,"Down",26.922754
"ENSG00000140545",9199.604857,1.094898,0.099413,0,0,"Up",26.522598
"ENSG00000154864",153.233975,-2.528126,0.231705,0,0,"Down",26.293914
"ENSG00000177283",115.08515,2.449744,0.225065,0,0,"Up",26.066103
"ENSG00000146592",669.394803,-2.012572,0.187601,0,0,"Down",25.827017
"ENSG00000072958",2129.433093,1.070433,0.098626,0,0,"Up",25.663753
"ENSG00000133216",344.053248,-1.744119,0.162063,0,0,"Down",25.474749
"ENSG00000205978",1601.035844,-1.139245,0.105867,0,0,"Down",25.30845
"ENSG00000243244",996.17203,1.388332,0.129634,0,0,"Up",25.246977
"ENSG00000136546",4991.237071,1.345275,0.126117,0,0,"Up",25.143448
"ENSG00000096060",2564.384375,3.969846,0.382816,0,0,"Up",25.045473
"ENSG00000163491",160.22334,-2.455259,0.231616,0,0,"Down",24.876004
"ENSG00000092621",1231.091887,-1.40406,0.132211,0,0,"Down",24.844986
"ENSG00000187498",2283.82731,1.295408,0.122085,0,0,"Up",24.739393
"ENSG00000233117",77.631599,3.331684,0.315479,0,0,"Up",24.526218
"ENSG00000127083",304.475082,1.782293,0.169721,0,0,"Up",24.349961
"ENSG00000165507",18353.558992,1.52766,0.146106,0,0,"Up",24.305246
"ENSG00000183160",2987.647279,-1.15542,0.109755,0,0,"Down",24.267687
"ENSG00000177666",1701.231837,1.083859,0.103444,0,0,"Up",23.953594
"ENSG00000069431",849.097215,1.041323,0.099351,0,0,"Up",23.919948
"ENSG00000102466",664.680645,1.198334,0.114655,0,0,"Up",23.892902
"ENSG00000131386",11496.51218,1.586478,0.15407,0,0,"Up",23.741122
"ENSG00000180914",568.709512,1.843528,0.178005,0,0,"Up",23.725808
"ENSG00000162496",3692.000321,1.070933,0.102896,0,0,"Up",23.660819
"ENSG00000177674",751.373019,1.097478,0.105461,0,0,"Up",23.648634
"ENSG00000099204",848.584854,1.403713,0.136249,0,0,"Up",23.409878
"ENSG00000126878",93.259064,-2.620792,0.25448,0,0,"Down",23.312064
"ENSG00000127954",286.388753,5.112856,0.50828,0,0,"Up",23.295465
"ENSG00000148120",743.999682,1.087023,0.105629,0,0,"Up",23.104865
"ENSG00000169738",627.449399,2.060129,0.203842,0,0,"Up",23.095082
"ENSG00000112773",516.797156,-1.178578,0.114717,0,0,"Down",23.092818
"ENSG00000125848",178.652502,-2.435697,0.242004,0,0,"Down",22.859913
"ENSG00000035664",633.039689,1.655253,0.163491,0,0,"Up",22.799582
"ENSG00000110900",262.804092,-1.442203,0.141531,0,0,"Down",22.687123
"ENSG00000023909",1927.703865,1.202445,0.118486,0,0,"Up",22.620125
"ENSG00000164742",353.798498,-2.5404,0.255755,0,0,"Down",22.574781
"ENSG00000138073",1697.499041,1.083741,0.107111,0,0,"Up",22.403103
"ENSG00000163697",2266.275313,1.059347,0.10523,0,0,"Up",22.332689
"ENSG00000120837",1841.387254,1.017673,0.101144,0,0,"Up",22.16966
"ENSG00000102554",149.552167,2.436148,0.244664,0,0,"Up",22.108799
"ENSG00000172061",231.273869,-2.505522,0.253984,0,0,"Down",22.065532
"ENSG00000183044",498.690255,1.137936,0.113269,0,0,"Up",22.065532
"ENSG00000164292",14399.519013,1.020298,0.102808,0,0,"Up",22.062323
"ENSG00000152580",5992.44572,-1.135259,0.11396,0,0,"Down",21.859119
"ENSG00000013297",3431.544553,-1.739107,0.176964,0,0,"Down",21.838314
"ENSG00000099194",785.207076,-1.954017,0.199325,0,0,"Down",21.81426
"ENSG00000164070",591.680868,-1.298411,0.130736,0,0,"Down",21.759142
"ENSG00000237697",126.795186,1.986726,0.200331,0,0,"Up",21.67725
"ENSG00000008311",721.941419,1.078824,0.108734,0,0,"Up",21.487816
"ENSG00000126950",786.108308,-1.676249,0.171585,0,0,"Down",21.336904
"ENSG00000177614",133.149205,-2.518577,0.259351,0,0,"Down",21.230963
"ENSG00000088756",685.720869,-1.615956,0.166036,0,0,"Down",21.19129
"ENSG00000170624",2121.062253,-1.115948,0.113948,0,0,"Down",21.127727
"ENSG00000128510",164.043523,-2.216711,0.227844,0,0,"Down",21.059641
"ENSG00000081052",207.134577,1.876329,0.193147,0,0,"Up",20.933822
"ENSG00000164484",816.787639,-1.183997,0.12163,0,0,"Down",20.876989
"ENSG00000118689",5165.47548,1.237066,0.127588,0,0,"Up",20.809499
"ENSG00000127824",228.716783,-1.532145,0.157896,0,0,"Down",20.777737
"ENSG00000181061",2420.908002,1.177344,0.121815,0,0,"Up",20.684388
"ENSG00000198431",22734.576609,1.473259,0.153283,0,0,"Up",20.635964
"ENSG00000132970",1322.814869,1.088851,0.112571,0,0,"Up",20.54083
"ENSG00000134253",136.920214,-1.919277,0.199115,0,0,"Down",20.54083
"ENSG00000167992",251.542182,-1.492345,0.154976,0,0,"Down",20.54083
"ENSG00000179820",3784.342777,1.464928,0.153819,0,0,"Up",20.402861
"ENSG00000136436",3129.159421,1.115685,0.116093,0,0,"Up",20.339241
