"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","drug_name"
"HUMMERICH_SKIN_CANCER_PROGRESSION_DN","HUMMERICH_SKIN_CANCER_PROGRESSION_DN",3,0.428571428571429,0.846393895116708,0.666666666666667,0.960320810468552,0.960320810468552,287,"tags=100%, list=57%, signal=43%","3956/5837/1947",0.0835990603684159,"hummerich_skin_cancer_progression_dn"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_9","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_9",2,-0.538662886411495,-0.845654315499125,0.728026533996683,0.967185008932792,0.967185008932792,113,"tags=50%, list=23%, signal=39%","51493",0.0516355964484201,"yao_temporal_response_to_progesterone_cluster_9"
"SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN","SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN",14,-0.315584903102765,-0.845652035910108,0.704622322435175,0.960320810468552,0.960320810468552,135,"tags=43%, list=27%, signal=32%","83874/996/10513/6634/5019/6767",0.0353910624222457,"schaeffer_prostate_development_6hr_dn"
"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR","HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR",5,-0.408806291472385,-0.843458681020964,0.707835325365206,0.960320810468552,0.960320810468552,231,"tags=60%, list=46%, signal=33%","1856/29058/4792",0.0427591434738678,"hu_genotoxin_action_direct_vs_indirect_4hr"
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_DN","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_DN",3,0.424547283702213,0.83844653459918,0.684057971014493,0.960320810468552,0.960320810468552,289,"tags=100%, list=58%, signal=42%","89801/3937/3556",0.0822054920415869,"hernandez_aberrant_mitosis_by_docetacel_2nm_dn"
"KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_DN","KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_DN",3,0.419970802743707,0.829408354995585,0.695652173913043,0.960320810468552,0.960320810468552,6,"tags=33%, list=1%, signal=33%","4830",0.0813027345384499,"kokkinakis_methionine_deprivation_48hr_dn"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16",5,0.331332037402622,0.828814556453479,0.678714859437751,0.960320810468552,0.960320810468552,4,"tags=20%, list=1%, signal=20%","11015",0.101350743797099,"yao_temporal_response_to_progesterone_cluster_16"
"HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS","HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS",2,0.495983935742972,0.825148751361875,0.711779448621554,0.960320810468552,0.960320810468552,253,"tags=100%, list=51%, signal=50%","9235/3675",0.0725351864394589,"hellebrekers_silenced_during_tumor_angiogenesis"
"LI_CISPLATIN_RESISTANCE_UP","LI_CISPLATIN_RESISTANCE_UP",1,0.61122244488978,0.825052896590513,0.770750988142292,0.99604743083004,0.99604743083004,195,"tags=100%, list=39%, signal=61%","4257",0.0571258510018113,"li_cisplatin_resistance_up"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10",4,-0.42715705813647,-0.820764779064668,0.753191489361702,0.991041433370661,0.991041433370661,259,"tags=75%, list=52%, signal=36%","2288/11154/5898",0.0429311093452583,"yao_temporal_response_to_progesterone_cluster_10"
